                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.2962,                 1.3735,                 2.0303,                0.52365,                0.56751,                0.48685,                0.14535,                 3.0081,                 1.5145,                 2.1684,              0.0011059,              0.0011059,              0.0011059
                     37,                 2.3801,                 1.3737,                 1.9634,                0.49073,                0.56402,                0.46265,                0.15713,                 2.8989,                 1.5246,                 2.1629,              0.0010894,              0.0010894,              0.0010894
                     38,                 2.3181,                 1.4115,                 1.9393,                0.53144,                0.61585,                 0.5325,                0.16738,                 2.8722,                 1.4842,                 2.0665,              0.0010729,              0.0010729,              0.0010729
                     39,                 2.2158,                 1.3309,                      2,                0.59249,                0.69207,                 0.6095,                0.19396,                 2.8422,                 1.4883,                 1.9395,              0.0010564,              0.0010564,              0.0010564
                     40,                 2.2926,                 1.2949,                 1.8574,                0.61538,                0.70427,                0.64383,                0.23197,                 2.5789,                 1.5153,                   1.81,              0.0010399,              0.0010399,              0.0010399
                     41,                  2.113,                 1.3017,                 1.9467,                0.62182,                0.67378,                0.65835,                0.21903,                 2.6113,                 1.5793,                 1.8154,              0.0010234,              0.0010234,              0.0010234
                     42,                  2.101,                  1.239,                 1.7831,                0.61574,                0.67683,                0.62151,                0.20485,                 2.6327,                 1.7163,                 1.7974,              0.0010069,              0.0010069,              0.0010069
                     43,                 2.0617,                 1.1946,                 1.7935,                0.68011,                 0.7305,                0.69805,                0.25275,                 2.5226,                 1.6504,                 1.7115,             0.00099036,             0.00099036,             0.00099036
                     44,                 2.0818,                 1.2175,                 1.7852,                0.66852,                0.75133,                0.72017,                0.29817,                   2.33,                 1.5659,                 1.5967,             0.00097386,             0.00097386,             0.00097386
                     45,                  2.045,                 1.1372,                 1.7368,                0.72893,                0.77134,                0.76614,                0.34512,                 2.1427,                 1.3332,                 1.5055,             0.00095736,             0.00095736,             0.00095736
                     46,                   2.07,                 1.2528,                 1.8715,                0.73029,                0.73476,                0.76978,                0.36061,                 2.0439,                 1.1571,                 1.4645,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.9918,                 1.1643,                 1.7568,                0.66486,                0.75634,                0.80614,                0.39054,                 2.0518,                 1.1457,                 1.4364,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.9308,                 1.1461,                 1.7065,                0.63383,                0.76087,                0.85276,                    0.4,                 2.1448,                 1.1987,                  1.443,             0.00090785,             0.00090785,             0.00090785
                     49,                  1.996,                 1.0915,                 1.6884,                0.65151,                0.73348,                 0.8361,                0.42771,                 1.9739,                 1.1262,                 1.3881,             0.00089134,             0.00089134,             0.00089134
                     50,                  1.912,                 1.1176,                 1.6253,                0.68703,                0.75305,                0.83022,                0.43563,                 1.8101,                 1.0955,                 1.3354,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.9343,                 1.0798,                 1.6543,                0.75218,                0.72592,                0.83247,                0.44657,                 1.7532,                 1.0559,                 1.3113,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.9862,                  1.116,                 1.6526,                0.77499,                0.73309,                0.85167,                0.46597,                 1.8651,                 1.0447,                 1.3279,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.9554,                 1.0992,                 1.6594,                0.84084,                 0.7516,                0.86173,                0.45357,                 1.9416,                 1.1027,                 1.3364,             0.00082533,             0.00082533,             0.00082533
                     54,                 2.0126,                 1.0448,                 1.6119,                0.88024,                0.74085,                0.88177,                0.45655,                 1.9143,                 1.1146,                 1.3183,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.9002,                 1.0983,                 1.6526,                 0.7526,                0.81946,                0.89641,                0.50136,                 1.7594,                 1.0429,                 1.2669,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.8257,                 1.0301,                  1.531,                 0.7614,                0.80488,                0.89133,                0.50621,                 1.7758,                0.99777,                 1.2721,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.8587,                  1.066,                  1.611,                0.82141,                0.80488,                0.90926,                 0.5162,                 1.8315,                0.96506,                 1.2897,             0.00075932,             0.00075932,             0.00075932
                     58,                  1.918,                 1.0723,                 1.6061,                0.83978,                0.83286,                0.92391,                0.53832,                 1.7413,                0.93656,                 1.2575,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.8104,                 1.0132,                 1.5761,                0.85562,                0.85505,                0.93371,                0.54577,                 1.6893,                0.90748,                 1.2368,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.7605,                0.98107,                 1.5144,                0.83619,                0.84756,                0.93496,                0.54661,                 1.6632,                0.89742,                 1.2293,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.6746,                0.95478,                 1.4615,                0.82252,                0.85976,                0.92909,                0.54132,                 1.7504,                0.90947,                 1.2429,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.7812,                0.94465,                 1.5039,                0.80911,                0.87195,                0.92652,                 0.5434,                 1.7055,                0.90451,                 1.2215,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.7931,                0.99641,                 1.5253,                0.83951,                0.84146,                0.92478,                0.53605,                 1.6547,                0.87542,                 1.1991,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.7273,                0.97672,                 1.5594,                0.91004,                0.84146,                0.91938,                 0.5373,                 1.6921,                0.91177,                 1.2078,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.7018,                  0.922,                  1.501,                0.91327,                0.79268,                0.91664,                 0.5434,                 1.6725,                0.91183,                 1.2021,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.7026,                0.94199,                 1.5182,                0.87242,                0.83496,                0.91734,                0.54441,                 1.5976,                0.88592,                 1.1844,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.7479,                0.98018,                 1.5099,                0.89328,                0.85366,                0.92993,                0.55496,                 1.5551,                0.86441,                 1.1787,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.7206,                0.91243,                 1.5085,                0.94296,                0.84146,                  0.937,                0.57187,                 1.5236,                0.84323,                 1.1727,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.6581,                0.91688,                 1.4596,                0.91497,                0.82927,                0.94464,                0.57718,                 1.5765,                0.84457,                 1.1759,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.6226,                 0.8989,                 1.4621,                0.91177,                0.84451,                0.95115,                0.56054,                  1.635,                0.85081,                 1.1744,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.8159,                0.96134,                 1.5245,                0.89967,                0.91021,                0.95465,                0.54654,                 1.6526,                0.86566,                 1.1732,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.6316,                0.88896,                 1.4568,                0.86256,                0.87477,                0.94252,                0.56222,                 1.5777,                0.84594,                 1.1545,             0.00051177,             0.00051177,             0.00051177
                     73,                  1.638,                0.90222,                  1.468,                0.90789,                0.84825,                0.94746,                0.59669,                  1.556,                0.80876,                 1.1461,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.7164,                0.93207,                   1.47,                0.95614,                 0.8436,                0.94811,                0.60709,                 1.5348,                0.78593,                 1.1419,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.6301,                0.91002,                 1.4495,                0.95245,                 0.8539,                0.95067,                0.60319,                 1.5446,                0.78781,                 1.1487,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.7573,                0.90701,                 1.4725,                0.93709,                0.85717,                0.95405,                0.60621,                 1.4812,                  0.774,                 1.1352,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.5833,                0.90311,                 1.4145,                0.89158,                0.89329,                0.95703,                0.61243,                  1.457,                0.77034,                 1.1297,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.6747,                0.94932,                 1.4945,                0.89119,                0.89299,                 0.9576,                0.59245,                  1.489,                0.78088,                 1.1323,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.6082,                0.90709,                 1.4347,                0.92203,                 0.8811,                 0.9636,                0.58934,                 1.5016,                0.79084,                 1.1318,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.5611,                0.86669,                 1.4658,                0.93746,                0.87176,                0.96857,                0.59148,                 1.4887,                0.79732,                 1.1301,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.6166,                0.88131,                 1.4393,                0.94075,                0.87524,                0.97443,                0.59104,                 1.5103,                0.80403,                 1.1345,             0.00036324,             0.00036324,             0.00036324
                     82,                  1.674,                0.87769,                 1.4428,                0.92888,                0.91266,                0.97766,                0.59511,                 1.5061,                0.78596,                 1.1276,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.5749,                0.85474,                 1.4147,                 0.9365,                0.93293,                0.97821,                0.60144,                 1.4933,                0.76113,                 1.1139,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.5957,                0.83295,                 1.3982,                 0.9536,                0.93005,                0.97764,                0.60899,                 1.4611,                0.75054,                 1.0977,             0.00031373,             0.00031373,             0.00031373
                     85,                   1.58,                0.85478,                 1.3887,                0.95358,                0.93437,                0.97581,                0.60773,                 1.4548,                0.75741,                 1.0957,             0.00029723,             0.00029723,             0.00029723
