iter	Logloss
0	0.6515778214
1	0.6100744416
2	0.5750623376
3	0.553153923
4	0.5350678608
5	0.5160450243
6	0.4958729531
7	0.4836536481
8	0.4694484382
9	0.4579052694
10	0.4421777195
11	0.4364954842
12	0.4232417624
13	0.4143169116
14	0.4079299537
15	0.4049104588
16	0.3941751462
17	0.388640296
18	0.3837508516
19	0.3787080779
20	0.3767936684
21	0.3720667778
22	0.3691702101
23	0.3630603978
24	0.361401986
25	0.3599818058
26	0.3586405029
27	0.3541249957
28	0.3512408135
29	0.3467209101
30	0.3444538727
31	0.3435231798
32	0.3418842972
33	0.3411039056
34	0.3361836975
35	0.3354255613
36	0.334558944
37	0.3336051162
38	0.332175809
39	0.3314782767
40	0.3308548294
41	0.328233829
42	0.3276039146
43	0.3227532579
44	0.3218056462
45	0.3199145212
46	0.319424244
47	0.3181344855
48	0.3176845655
49	0.3172071601
50	0.3165280109
51	0.316078256
52	0.3151306918
53	0.3142708763
54	0.313889512
55	0.3133991061
56	0.3114378868
57	0.3109222597
58	0.310601237
59	0.3102112674
60	0.3098272627
61	0.3086059293
62	0.3070678169
63	0.306331435
64	0.3049912053
65	0.3045573434
66	0.304160834
67	0.3039244104
68	0.3029599019
69	0.3027204946
70	0.3019675317
71	0.3017685018
72	0.3015381801
73	0.3011339483
74	0.300835123
75	0.3003245626
76	0.2996804282
77	0.298900157
78	0.298359186
79	0.2981567114
80	0.2980061635
81	0.2976425486
82	0.2964032893
83	0.2958668183
84	0.2953542106
85	0.2943900066
86	0.293841416
87	0.2935669301
88	0.2934325088
89	0.2932711054
90	0.2929837597
91	0.2922048032
92	0.2920647677
93	0.2916673681
94	0.2912184789
95	0.2907723385
96	0.2906242679
97	0.2905116066
98	0.2902269642
99	0.2900312447
100	0.2889798003
101	0.2888382943
102	0.2885441559
103	0.288358534
104	0.2882122034
105	0.2880485374
106	0.287940671
107	0.2873891597
108	0.2870222175
109	0.2868229626
110	0.286624702
111	0.2864740179
112	0.2862945703
113	0.2861420879
114	0.2859278785
115	0.285289938
116	0.2851636949
117	0.2850270786
118	0.2848871145
119	0.2847696863
120	0.2846274319
121	0.2844068688
122	0.2842948008
123	0.2841294644
124	0.2840018079
125	0.2838853319
126	0.2837504084
127	0.2835116338
128	0.2829343818
129	0.2824769302
130	0.2819517826
131	0.2818726832
132	0.2812383282
133	0.2810865226
134	0.2806978964
135	0.2804920586
136	0.2804224816
137	0.2803346591
138	0.2799847107
139	0.2797238193
140	0.2796211206
141	0.2794526149
142	0.2793247648
143	0.2792100339
144	0.2791031186
145	0.2789822486
146	0.2788217969
147	0.2787383343
148	0.2786539417
149	0.2785298254
150	0.2780419287
151	0.2774133861
152	0.2770481111
153	0.2769277011
154	0.2767733453
155	0.2766890864
156	0.2765674746
157	0.2764703748
158	0.2763594547
159	0.2762904108
160	0.2756059389
161	0.2751362458
162	0.2750130703
163	0.2746694472
164	0.2745469357
165	0.2744660298
166	0.2744019591
167	0.2742434264
168	0.2741909871
169	0.274108171
170	0.274039195
171	0.273895337
172	0.2737954236
173	0.2736788025
174	0.2735735487
175	0.273473938
176	0.2733725634
177	0.2731902057
178	0.2730538356
179	0.272893738
180	0.272812816
181	0.2727358009
182	0.2726260928
183	0.272566564
184	0.2719958769
185	0.2719114678
186	0.2718230848
187	0.2717350432
188	0.2716022388
189	0.2715367798
190	0.2714558455
191	0.2713477159
192	0.2712828014
193	0.2709708832
194	0.2705550452
195	0.2700209185
196	0.2699496885
197	0.2698166795
198	0.2697368371
199	0.2696671248
200	0.2695953134
201	0.2694924584
202	0.2692041772
203	0.2691160884
204	0.2689878927
205	0.268879794
206	0.2687636151
207	0.2686519404
208	0.2685355119
209	0.2684121649
210	0.2682636547
211	0.2681228622
212	0.2680534998
213	0.2679344835
214	0.2677604465
215	0.2676502047
216	0.2675400888
217	0.267214996
218	0.267140798
219	0.2670266448
220	0.2669425723
221	0.266843375
222	0.2667320941
223	0.2666552414
224	0.2664203918
225	0.266237126
226	0.2658625333
227	0.2654229758
228	0.2651149635
229	0.2647474985
230	0.2646436701
231	0.2641827246
232	0.2639955535
233	0.2638468379
234	0.2637569323
235	0.26353866
236	0.2634875614
237	0.2633951725
238	0.2633264259
239	0.2632291441
240	0.2631325777
241	0.2627087377
242	0.2625936601
243	0.2621979569
244	0.261867125
245	0.2617677063
246	0.2616447824
247	0.2614970861
248	0.2611629368
249	0.2610391504
250	0.2606208507
251	0.2604766962
252	0.2602917263
253	0.2601270535
254	0.260020168
255	0.2597651189
256	0.2596743934
257	0.2595417994
258	0.2594311923
259	0.2593628175
260	0.2592317403
261	0.2591186099
262	0.2590090463
263	0.2588788545
264	0.25881511
265	0.2585995993
266	0.2585351664
267	0.2584566719
268	0.2583575235
269	0.2582807164
270	0.2581991411
271	0.2581007526
272	0.2580251792
273	0.2579206754
274	0.2577619589
275	0.2576107203
276	0.2575021999
277	0.2574382705
278	0.2572928201
279	0.2564908353
280	0.2563849662
281	0.2562756429
282	0.2561294029
283	0.2560291285
284	0.2559085051
285	0.2557930795
286	0.2557082997
287	0.2556371515
288	0.2555434823
289	0.2554898201
290	0.2554206555
291	0.2553179185
292	0.2552327734
293	0.255148916
294	0.2548742792
295	0.2547771185
296	0.2546847478
297	0.2546069072
298	0.2544478631
299	0.2543683942
300	0.2542804838
301	0.2542035078
302	0.2541434252
303	0.2540395195
304	0.2538360107
305	0.2537848615
306	0.2537134137
307	0.2536230337
308	0.2535454347
309	0.2534667545
310	0.2533494615
311	0.2532595612
312	0.2531413098
313	0.253057515
314	0.252894874
315	0.2527757618
316	0.2526149452
317	0.2525294645
318	0.2523267649
319	0.2522163565
320	0.2521298407
321	0.252062673
322	0.2519698285
323	0.2518183375
324	0.2517172175
325	0.2516301333
326	0.2515955261
327	0.2514819454
328	0.2513887165
329	0.251252857
330	0.2511586985
331	0.2511125822
332	0.2509480779
333	0.2508548908
334	0.2507995777
335	0.250739376
336	0.250618513
337	0.2505384182
338	0.2503809588
339	0.2502996852
340	0.2502168187
341	0.2501586759
342	0.2501191994
343	0.2500733926
344	0.2499708005
345	0.2498969554
346	0.2498311179
347	0.2495902826
348	0.249388591
349	0.2493157794
350	0.2492022177
351	0.2491246056
352	0.2490515428
353	0.2489513534
354	0.2488883676
355	0.2488123929
356	0.2487354562
357	0.2486166819
358	0.2485330885
359	0.2485038225
360	0.2484265017
361	0.248289508
362	0.2481166986
363	0.24806368
364	0.2479771363
365	0.247915668
366	0.2478625538
367	0.2477553454
368	0.2476786513
369	0.2476003231
370	0.2475124887
371	0.2474419569
372	0.2473579438
373	0.2472796169
374	0.247231003
375	0.2471586478
376	0.2470728054
377	0.246956603
378	0.2468751231
379	0.2467793806
380	0.2466821755
381	0.2466193261
382	0.2465599436
383	0.2464455141
384	0.2463964314
385	0.2462813819
386	0.2461769313
387	0.2461220767
388	0.2459366519
