iter	Passed	Remaining
422	2239	3054
423	2243	3047
424	2248	3041
425	2252	3034
426	2257	3029
427	2261	3022
428	2265	3015
429	2271	3010
430	2275	3003
431	2279	2996
432	2283	2990
433	2288	2984
434	2294	2979
435	2298	2973
436	2303	2967
437	2308	2961
438	2312	2955
439	2318	2950
440	2324	2946
441	2328	2940
442	2334	2934
443	2338	2928
444	2343	2922
445	2348	2917
446	2353	2911
447	2357	2905
448	2362	2899
449	2367	2894
450	2372	2887
451	2376	2881
452	2381	2875
453	2386	2870
454	2391	2864
455	2397	2859
456	2402	2854
457	2407	2848
458	2411	2842
459	2416	2837
460	2421	2830
461	2425	2824
462	2430	2818
463	2435	2812
464	2439	2807
465	2444	2800
466	2449	2795
467	2454	2789
468	2459	2784
469	2463	2778
470	2468	2772
471	2473	2767
472	2478	2761
473	2484	2756
474	2488	2750
475	2493	2744
476	2498	2739
477	2502	2733
478	2507	2727
479	2512	2721
480	2516	2715
481	2521	2709
482	2526	2703
483	2531	2698
484	2535	2692
485	2541	2688
486	2546	2682
487	2551	2676
488	2555	2670
489	2560	2665
490	2565	2659
491	2569	2653
492	2574	2647
493	2580	2642
494	2585	2637
495	2590	2631
496	2595	2626
497	2599	2620
498	2603	2614
499	2608	2608
500	2613	2603
501	2618	2597
502	2622	2591
503	2627	2585
504	2632	2580
505	2637	2574
506	2641	2568
507	2646	2563
508	2651	2557
509	2655	2551
510	2660	2546
511	2665	2541
512	2670	2535
513	2675	2529
514	2680	2524
515	2684	2518
516	2690	2513
517	2696	2509
518	2702	2504
519	2706	2498
520	2711	2492
521	2716	2487
522	2720	2481
523	2725	2475
524	2730	2470
525	2735	2464
526	2739	2459
527	2744	2453
528	2749	2447
529	2754	2442
530	2759	2437
531	2764	2431
532	2769	2426
533	2773	2420
534	2778	2415
535	2783	2409
536	2788	2403
537	2793	2398
538	2798	2393
539	2802	2387
540	2807	2382
541	2812	2376
542	2816	2370
543	2821	2364
544	2825	2359
545	2829	2353
546	2834	2347
547	2839	2342
548	2844	2336
549	2848	2330
550	2853	2324
551	2858	2319
552	2864	2315
553	2869	2310
554	2875	2305
555	2880	2300
556	2885	2294
557	2890	2289
558	2894	2283
559	2899	2278
560	2905	2273
561	2909	2267
562	2913	2261
563	2918	2255
564	2922	2250
565	2926	2244
566	2931	2238
567	2935	2232
568	2941	2227
569	2945	2222
570	2950	2216
571	2954	2210
572	2958	2204
573	2962	2198
574	2967	2193
575	2973	2188
576	2978	2183
577	2983	2178
578	2987	2172
579	2992	2166
580	2996	2161
